word,freq,ig
language,7259,0.19963928340174858
university,5271,0.14499167317867212
linguistic,2890,0.14568226187225897
de,2849,0.04947348825935316
address,2778,0.007449131388751806
one,2702,0.0016324142872157221
information,2646,7.392517721194203e-05
send,2232,0.006364184633462888
order,2206,0.018134656024569762
conference,2131,0.04558568311964295
work,2056,0.00030365395243847626
english,2052,0.07400443336450069
please,2018,0.01322181429161573
include,1995,6.044092783930033e-06
mail,1985,0.044106885483142566
email,1956,0.007178662390715629
program,1895,0.005287688495486997
name,1793,0.012863547143231568
http,1786,0.002343731493381962
paper,1770,0.019869482937511784
edu,1748,0.06019498687256175
list,1740,0.02582484234447613
our,1707,0.08706838406353412
fax,1642,0.023852570347106306
report,1623,0.011010652351174488
word,1619,0.018631153979651427
follow,1617,5.120091423982398e-05
workshop,1613,0.0355679346627793
research,1557,0.031711034524149806
papers,1486,0.05593989758316298
system,1464,0.0001396300279974394
abstract,1400,0.0481914202796897
call,1389,0.0051760735567040195
www,1341,-9.229899919915852e-07
interest,1338,0.001493615205703569
us,1336,0.021497323033485838
receive,1317,0.04542773486259288
form,1281,0.0006872628114459323
theory,1244,0.05318179430498149
first,1236,0.0011489517108740355
study,1232,0.035862618615635666
number,1230,0.00227214009519916
uk,1185,0.011945191996705518
linguistics,1177,0.07370825371696321
submission,1172,0.02469423865022291
two,1156,0.005556636482225041
book,1137,0.013528362902509583
session,1120,0.01869146851446002
free,1017,0.15997237136095577
many,1014,0.013736700865714213
each,1009,0.010056967191646615
page,1001,0.0044916244585067044
com,992,0.05780833952562936
case,984,0.008850094288712751
available,982,0.00135241665941499
process,974,0.0011364876406922964
question,967,0.00015393119933826416
grammar,950,0.04017900714843725
between,933,0.021789257421680475
student,932,0.02379702875581824
text,929,0.008713991148086131
ac,923,0.027541219793045912
contact,922,0.001227017688230414
write,920,0.003458489177496138
money,916,0.11867585305733963
day,912,0.07094667488919304
analysis,905,0.03464069344102494
most,898,0.016265882997729242
state,898,0.009826924166671414
issue,894,0.030582163007823904
copy,884,0.00013397774894186032
department,884,0.04157086518211606
science,879,0.03964612921939603
web,879,0.005181661237037227
author,875,0.027030742271039965
over,869,0.06537827944929064
those,868,0.00092227722114957
provide,850,0.00031356587185105145
linguist,843,0.05406595028095518
here,842,0.043371315259786214
must,841,0.0020119245140652886
speech,837,0.027753178956244517
speaker,827,0.04467129786997792
computer,824,0.004046504274422769
example,822,0.003575259637967676
usa,816,0.0009909140532874394
